title,location,url,pre_comp_chars,flag_count,flags
Lead Staff Electrical Engineer (F10 Program),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/1bbcf144-7057-4a6e-9d51-4924bfda52b9/?gh_jid=1bbcf144-7057-4a6e-9d51-4924bfda52b9,2185,4,empty-p(2); underline(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
"Project Manager, Workplace","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/ca17c12d-18df-48dc-83a3-e0d8e06aa451/?gh_jid=ca17c12d-18df-48dc-83a3-e0d8e06aa451,3565,4,empty-p(1); uses-heading-tag(h3); mixed-trailing-punct((none)/:); mixed-bold-styles(whole+prefix)
Senior Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f/?gh_jid=a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f,2183,4,BR-paragraphs(1); empty-p(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Senior People Analytics Analyst,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/0703aaa0-9fcb-4b22-ad8c-b53e74151a72/?gh_jid=0703aaa0-9fcb-4b22-ad8c-b53e74151a72,3384,4,mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:); glued-heading-and-body; mixed-bold-styles(whole+prefix)
"Senior Software Engineer,  Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/0f71bdbb-a645-49f6-8890-dd5c052772c3/?gh_jid=0f71bdbb-a645-49f6-8890-dd5c052772c3,2681,4,glued-heading-and-body; mixed-bold-styles(whole+prefix); double-space-in-title; mixed-apostrophe(curly+straight)
"Senior Software Engineer, Full Stack","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/5655fbe3-66b0-4951-afdc-3b67f71e6938/?gh_jid=5655fbe3-66b0-4951-afdc-3b67f71e6938,4242,4,underline(1); mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:); mixed-bold-styles(whole+prefix)
Senior Technical Recruiter - Hardware Operations,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/737c02d2-f03f-4716-a0c8-e14a0307f8cb/?gh_jid=737c02d2-f03f-4716-a0c8-e14a0307f8cb,3100,4,BR-paragraphs(1); underline(1); glued-heading-and-body; mixed-apostrophe(curly+straight)
Workplace Experience Coordinator Part-Time,"Zurich, Switzerland - Part-time",https://www.skydio.com/jobs/d023afe5-f19f-42f7-a1dd-aa94a361b86f/?gh_jid=d023afe5-f19f-42f7-a1dd-aa94a361b86f,3582,4,empty-p(1); mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:); glued-heading-and-body
Autonomy Engineer - Deep Learning Infrastructure,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/c051266c-3e00-4906-abd0-21f18db56b3f/?gh_jid=c051266c-3e00-4906-abd0-21f18db56b3f,3218,3,BR-paragraphs(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Autonomy Engineer - Deep Learning Model Acceleration,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/5892ea83-ad5a-480a-bd9f-2409bb0b644e/?gh_jid=5892ea83-ad5a-480a-bd9f-2409bb0b644e,3222,3,BR-paragraphs(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
