title,location,url,section_header_style,about_label,impact_label,fit_label,word_count,li_total,ul_count,empty_paragraphs,br_tags,inline_styles,em_or_i_count,preamble_present
Senior NPI Product Quality Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/178a7e84-562e-40db-9abd-94bbf29159ca/?gh_jid=178a7e84-562e-40db-9abd-94bbf29159ca,p>strong,About the role,How you'll make an impact,What makes you a good fit,391,19,2,0,0,0,1,True
Senior People Analytics Analyst,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/0703aaa0-9fcb-4b22-ad8c-b53e74151a72/?gh_jid=0703aaa0-9fcb-4b22-ad8c-b53e74151a72,p>strong,About The Role,How You’ll Make an Impact,"Reporting & Dashboarding: Design, build, and maintain scalab…",454,16,3,0,0,0,0,True
"Senior Product Manager, Platform & Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/8d67884d-58f4-41a7-8740-ab65d3c03fa8/?gh_jid=8d67884d-58f4-41a7-8740-ab65d3c03fa8,p>strong,About the Role: We deliver life-saving information as fast a…,About the Role: We deliver life-saving information as fast a…,About the Role: We deliver life-saving information as fast a…,767,15,2,6,1,0,0,True
Senior RF Design Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7bd047de-b65b-42b2-a2bf-7d33ceabd083/?gh_jid=7bd047de-b65b-42b2-a2bf-7d33ceabd083,p>strong,About the Role,How You’ll Make an Impact,What Makes You a Good Fit,595,25,3,2,0,0,0,True
Senior Revenue Operations Manager,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/05e9f029-3a9d-4956-a4c8-e0bc786dd86a/?gh_jid=05e9f029-3a9d-4956-a4c8-e0bc786dd86a,p>strong,About the Role,Location: SF/Bay area - hybrid 3 days in office How You’ll Make an Impact,What Makes You a Good Fit,441,18,3,2,0,0,0,True
Senior Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae/?gh_jid=67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae,p>strong,About the team,How you'll make an impact,What makes you a good fit,353,17,3,0,0,0,0,True
Senior Software Engineer - Mobile Platform,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/e8cb16b0-d2f0-4cb4-a1a1-0f43d195cc9a/?gh_jid=e8cb16b0-d2f0-4cb4-a1a1-0f43d195cc9a,p>strong,About the Role,How You’ll Make an Impact,What Makes You a Good Fit,530,18,3,3,0,0,0,True
Senior Software Engineer - Security,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/bcd3d614-178c-4349-afd4-76476211b7fe/?gh_jid=bcd3d614-178c-4349-afd4-76476211b7fe,p>strong,About the Role,How you’ll make an impact,What makes you a good fit,418,17,3,0,0,0,0,True
"Senior Software Engineer,  Data Platform","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/aeaa130d-3e8b-42c5-a805-46f056e62fda/?gh_jid=aeaa130d-3e8b-42c5-a805-46f056e62fda,p>strong,About the role,Examples of what you’ll help build,What would make you a good fit,731,20,3,0,1,0,0,True
"Senior Software Engineer,  Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/0f71bdbb-a645-49f6-8890-dd5c052772c3/?gh_jid=0f71bdbb-a645-49f6-8890-dd5c052772c3,p>strong,About the team: Skydio’s Cloud infrastructure team is here t…,About the team: Skydio’s Cloud infrastructure team is here t…,What makes you a good fit,400,13,3,0,0,0,0,True
"Senior Software Engineer, Frontend","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/86cfc7bb-001c-4c1c-b680-160265535a96/?gh_jid=86cfc7bb-001c-4c1c-b680-160265535a96,p>strong,About the Role,How You’ll Make an Impact,What Makes You a Good Fit,353,15,3,5,0,0,0,True
