title,loc,header_style,header_count,has_h_tag,mixes_header_styles,br,nbsp,empty_p,li_bold_leadin,pre_chars,title_trailing_ws,has_comp_block,headers,uuid
Senior Software Engineer - Mobile Platform,"San Mateo, California, United States - Full-time",p_strong,5,False,False,0,0,3,0,3568,True,True,About the Role: | About the Team: | How You’ll Make an Impact: | What Makes You a Good Fit: | Nice To Haves:,e8cb16b0-d2f0-4cb4-a1a1-0f43d195cc9a
"Senior Software Engineer, Data Platform","San Mateo, California, United States - Full-time",p_strong,4,False,False,1,0,0,0,4714,True,True,About the role: | Examples of what you’ll help build: | What would make you a good fit: | Why Join Us?,aeaa130d-3e8b-42c5-a805-46f056e62fda
"Senior Software Engineer, Frontend","San Mateo, California, United States - Full-time",p_strong,4,False,False,0,0,0,0,2106,False,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit: | Bonus Points:,86cfc7bb-001c-4c1c-b680-160265535a96
"Senior Software Engineer, Full Stack","San Mateo, California, United States - Full-time",p_strong,4,False,False,0,0,0,0,3893,False,True,About the role: | How you’ll make an impact: | What would make you a good fit: | Bonus points for:,5655fbe3-66b0-4951-afdc-3b67f71e6938
Senior/Staff Embedded Software Engineer – Camera Systems,"San Mateo, California, United States - Full-time",p_strong,4,False,False,0,0,3,0,2806,False,True,About the Role: | About the Team: | How You’ll Make an Impact: | What Makes You a Good Fit:,71033170-d9d0-474b-b712-a11e4f11c146
Software Engineer - Embedded,"San Mateo, California, United States - Full-time",p_strong,4,False,False,0,3,0,0,2326,False,True,About the team: | About the role: | How you'll make an impact: | What makes you a good fit:,ef9f7dd2-5a88-49b4-a507-d5fc9cad565a
Software Engineer Intern Fall 2026/Winter 2027,US CA San Mateo - Intern,p_strong,1,False,False,4,0,1,0,2449,False,True,What makes you a good fit:,f6320e9b-4eed-408d-8d37-d509fb0406ee
"Software Engineer, Full Stack","San Mateo, California, United States - Full-time",p_strong,4,False,False,0,0,0,0,1855,False,True,About the role: | How you’ll make an impact: | What would make you a good fit: | Bonus Points:,f0020863-db72-480f-916d-375986f86031
Sr/Staff Embedded Software Engineer - Camera Systems,"Tampere, Finland - Full-time",p_strong,4,False,False,0,0,3,0,2806,False,True,About the Role: | About the Team: | How You’ll Make an Impact: | What Makes You a Good Fit:,898a9c77-cc20-4ed6-a050-f68e5c15d5c8
Staff Software Engineer - Embedded,"San Mateo, California, United States - Full-time",p_strong,4,False,False,0,3,0,0,2325,False,True,About the team: | About the role: | How you'll make an impact: | What makes you a good fit:,b3b2dea9-63bb-4adb-ba29-69bd8f7a18eb
"Staff Software Engineer, Frontend","San Mateo, California, United States - Full-time",p_strong,4,False,False,0,0,0,0,2090,False,True,About the role: | How you'll make an impact: | What makes you a good fit: | Bonus Points:,54654035-a78a-4e5b-9ebf-ae4067e5a246
"Staff Software Engineer, Full Stack","San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,4024,False,True,How you’ll make an impact: | What would make you a good fit: | Bonus points for:,379b23ea-14ff-4602-9b79-52d00bb96fda
Field Support Representative,US Remote - Full-time,p_strong,4,False,False,0,0,0,0,3676,True,True,About the team: | About the role: | How you’ll make an impact: | What makes you a good fit:,b053b0e2-005c-4e77-95f3-26c7354e6095
"Field Support Representative (Southwest, Remote)",US Remote - Full-time,p_strong,3,False,False,0,13,2,0,4939,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,9b93e7c2-e5d5-48b2-a2d2-8df71e0d8357
