title,location,type,url,word_count,found_compensation_block,cut_signal,uses_real_headings,real_heading_tag_breakdown,uses_bold_pseudo_headings,bold_pseudo_heading_count,heading_colon_style,paragraph_count,ul_count,ol_count,li_total,br_count,italic_count,underline_count,link_count,uses_c_link_class,inline_style_count,emoji_in_body,section_labels
Hardware Engineering Program Manager,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/b49e6784-2183-4de4-a0a1-7661203c254a,491,True,compensation,True,h2=3;h3=5,False,0,n/a,5,5,0,23,0,0,0,4,False,0,False,text
Hardware Operations Program Manager,"Hayward, California, United States",Full-time,https://www.skydio.com/jobs/55b393cf-124c-46f8-bd83-8c62e3ce628b,379,True,compensation,False,,True,3,all-colon,6,2,0,12,0,0,0,0,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Head of Warehouse & Logistics Operations,"Hayward, California, United States",Full-time,https://www.skydio.com/jobs/0c1e9360-09dc-4c73-85bc-51aa72afd3ad,447,True,compensation,False,,True,3,all-colon,7,2,0,20,1,0,0,4,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
IT Technician (Help Desk - Linux Focus),"Hayward, California, United States",Full-time,https://www.skydio.com/jobs/28c865cf-6aa4-45d1-ae13-34bb8f6b776b,524,True,compensation,False,,True,6,no-colon,18,14,0,42,9,0,0,4,False,0,False,"About the Role | Location | Nice to Have | Onsite - 5 days/week, Monday - Friday: 3:30pm - 12am Skydio Manufacturing (Hayward, CA) | What Makes You a Good Fit | What You'll Do"
Lead Staff Electrical Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/1bbcf144-7057-4a6e-9d51-4924bfda52b9,318,True,compensation,False,,True,2,all-colon,6,2,0,15,1,0,1,5,False,0,False,How you'll make an impact: | What makes you a good fit:
"Manager, Logistics","Hayward, California, United States",Full-time,https://www.skydio.com/jobs/eeb4b52f-d4e6-4823-9e4b-0ce75041d928,446,True,compensation,False,,True,3,all-colon,6,3,0,23,0,0,0,4,False,1,False,About the role: | How you will make an impact: | What makes you a good fit:
"Manager, Technical Support","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/2b312ffb-26c3-4b7f-8904-acbc4e51934b,780,True,compensation,False,,True,4,all-colon,8,2,0,22,0,0,0,4,False,0,False,About the role: | About the team: | How you'll make an impact: | What makes you a good fit:
Middleware Software Engineer Intern - Fall 2026,"San Mateo, California, United States",Intern,https://www.skydio.com/jobs/7d9dbb60-4ca1-4ba8-8bae-5ebfded4a915,333,True,compensation,False,,True,3,all-colon,6,2,0,11,0,0,0,4,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Mission Success Operations Manager,US Remote,Full-time,https://www.skydio.com/jobs/501a3067-e906-4354-b211-ac70db6accf4,452,True,compensation,False,,True,4,mixed,7,4,0,17,0,0,0,0,False,0,False,About the Team: | About the role: | How you'll make an impact: | What makes you a good fit
PCB Layout Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/eb2f4124-9bd6-49f9-9636-03152c573f7d,346,True,compensation,False,,True,2,all-colon,4,2,0,12,2,0,0,4,False,0,False,About the role: | What makes you a good fit:
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"San Mateo, California, United States",Intern,https://www.skydio.com/jobs/8d3979a8-c791-4825-8cf4-9b25479b9519,342,True,compensation,False,,False,0,n/a,1,3,0,9,1,0,0,0,False,0,False,
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"Zurich, Switzerland",Intern,https://www.skydio.com/jobs/c783c8dd-f604-47d0-aae0-187af89c81b4,345,False,li_slug,False,,False,0,n/a,1,3,0,9,1,0,0,4,False,0,False,
PhD Autonomy Engineer Intern - Planning & Controls (Reinforcement Learning),"Zurich, Switzerland",Intern,https://www.skydio.com/jobs/12590806-3cf0-4bc3-930b-12b53e227a5c,444,False,li_slug,True,h3=3,True,2,all-colon,5,4,0,17,0,0,0,4,False,0,False,About the role: | Nice-to-Haves: | text
Product Design Engineer (All Levels),"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/3f02ead1-8efe-4e3f-9c75-625e74ab57d1,448,True,compensation,False,,True,2,all-colon,4,2,0,16,1,0,0,4,False,0,False,How you'll make an impact: | What makes you a good fit:
Product Support Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/a4f131a0-4dde-46ce-85a1-c83fc3e0f21e,581,True,compensation,False,,False,0,n/a,6,2,0,22,2,0,0,4,False,0,False,
Product Support Engineer Intern,"San Mateo, California, United States",Intern,https://www.skydio.com/jobs/8df0689e-a489-4c72-a1f7-09dfe59745b8,441,True,compensation,False,,False,0,n/a,7,2,0,15,2,0,0,4,False,0,False,
"Program Manager, Major Deployments (Hawaii)","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/b194dcda-7ff0-4d44-9785-16895a44727f,596,True,compensation,False,,True,3,all-colon,9,2,0,14,0,0,0,4,False,0,False,About the role: | How you'll make an impact: | What Makes You A Good Fit:
Public Safety Strategist,US Remote,Full-time,https://www.skydio.com/jobs/3a694691-50c2-43cf-b969-f40bad1d9e39,601,True,compensation,False,,True,3,all-colon,6,4,0,26,0,0,1,4,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
"Revenue Operations Engineer, Quoting Systems","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/02d54431-2747-417d-8234-e72c316fed87,508,True,compensation,True,h2=5,True,1,all-colon,6,5,0,25,4,0,0,0,False,0,False,About the Role: | text
RF Design Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/f72f1fa5-d3d6-459e-8722-a94ce92ad1c8,391,True,compensation,False,,True,3,all-colon,5,2,0,19,0,0,0,4,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
Sales Planning Analyst Intern,"San Mateo, California, United States",Intern,https://www.skydio.com/jobs/712900e5-ff75-4e07-8f88-626d4f8ab653,409,True,compensation,False,,True,2,all-colon,7,2,0,18,1,0,0,0,False,0,False,How You'll Make an Impact: | What Would Make You a Good Fit:
Senior Autonomy Engineer - Controls,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/58b4cdf6-5630-4dd0-aab3-a1ed4d599466,245,True,compensation,False,,True,3,all-colon,5,3,0,9,0,0,0,0,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
